11-meterplet	straffesparksplet
12-skala	7-trinsskala
24-7	hele tiden;konstant;uafbrudt
45-knallert	EU-knallert
68'er	ungdomsoprører
7-trinsskala	12-skala
A3-format	A3
A4-format	A4
A-aktie	stamaktie
abdicere	træde tilbage
abdikation	tronfrasigelse;tilbagetræden
abdomen	bagkrop
abe	Haplorhini
abebrødtræ	baobabtræ;Adansonia digitata
abefest	abegilde
abegilde	abefest
abekattestreger	narrestreger
abemenneske	Homo erectus
aber dabei	hage;skavank;minus
abeskøn	skæppeskøn
abessinier	etiopier
abetræ	Araucaria araucana
abnorm	unormal;sygelig
aboriginal	aboriginer;australneger
aboriginer	aboriginal;australneger
aborre	Perca fluviatilis
abracadabra	hokus pokus
abrikos	Prunus armeniaca
ABS-bremser	blokeringsfri bremser;ABS
absces	byld
abscisse	x-akse;abscisseakse
abscisseakse	x-akse;førsteakse;abscisse
absence	petit mal
absolut	fuldstændig;total
absolut	partout
absoluthed	konsekvens
absolutisme	enevælde
absorption	absorbering
abstinens	abstinenssymptom
abstinens	afholdenhed
abstinenssymptom	abstinens
abstinent	afholdende
abstract	resumé;synopsis;abstrakt
abstrahere	se bort fra
abstrakt	abstract
abstrakt	nonfigurativ
abyssinier	abyssinierkat
abyssinierkat	abyssinier
accelerationsbane	tilkørselsbane
accelerator	acceleratorkort
acceleratorkort	accelerator
accenttegn	accent aigu
accept	godkendelse
acceptabel	antagelig
acceptere	godtage;antage
acceptere	anerkende
acces	adgang
accessoires	accessories
acetaldehyd	ætanal;ethanal
acetone	propanon
acetylen	ethyn
acid	acidhouse
acidhouse	acid
acidofilus	Lactobacillus acidophilus
acyklisk	skruebladet
adaptation	tilpasning
adaptere	tilpasse
addering	addition
adel	adelstand
adelsbrev	adelspatent
adelsdame	adelsfrue
adelsfrue	adelsdame
adelskalender	adelsårbog
adelspatent	adelsbrev
adelsårbog	adelskalender
adfærd	handlemåde;optræden
adfærdsproblem	adfærdsvanskelighed
adfærdsvanskelighed	adfærdsproblem
