11-meterplet	straffesparksplet
12-skala	7-trinsskala
24-7	hele tiden;konstant;uafbrudt
45-knallert	EU-knallert
7-trinsskala	12-skala
A3-format	A3
A4-format	A4
A-aktie	stamaktie;stamaktie
A-aktien	stamaktien
A-aktiens	stamaktiens
A-akties	stamakties
A-aktierne	stamaktierne
A-aktiernes	stamaktiernes
A-aktier	stamaktier
A-aktiers	stamaktiers
abdicere	træde tilbage
abdikation	tronfrasigelse;tilbagetræden;tilbagetræden
abdikations	tilbagetrædens
abdomen	bagkrop
abe	Haplorhini
abebrødtræ	baobabtræ;Adansonia digitata
abefest	abegilde
abegilde	abefest
abekattestreger	narrestreger
abemenneske	Homo erectus
aber dabei	hage;skavank;minus;minus
aber dabeis	minus'
abeskøn	skæppeskøn
abessinier	etiopier;etiopier
abessinieren	etiopieren
abessinierens	etiopierens
abessiniers	etiopiers
abessinierne	etiopierne
abessiniernes	etiopiernes
abessiniere	etiopiere
abessinieres	etiopieres
abetræ	Araucaria araucana
abnorm	unormal;sygelig;unormal;sygelig
abnorme	unormale;sygelige
abnormt	unormalt;sygeligt
aboriginal	aboriginer;australneger;aboriginer
aboriginalen	aborigineren
aboriginalens	aboriginerens
aboriginals	aboriginers;aboriginere
aboriginals'	aborigineres
aboriginer	aboriginal;australneger;aboriginal
aborigineren	aboriginalen
aboriginerens	aboriginalens
aboriginers	aboriginals
aboriginere	aboriginals
aborigineres	aboriginals'
aborre	Perca fluviatilis
abracadabra	hokus pokus
abrikos	Prunus armeniaca
ABS-bremser	blokeringsfri bremser;ABS
absces	byld;byld
abscessen	bylden
abscessens	byldens
absces'	bylds
abscesserne	bylderne
abscessernes	byldernes
abscesser	bylder
abscessers	bylders
abscisse	x-akse;abscisseakse;x-akse;abscisseakse
abscissen	x-aksen;abscisseaksen
abscissens	x-aksens;abscisseaksens
abscisses	x-akses;abscisseakses
abscisserne	x-akserne;abscisseakserne
abscissernes	x-aksernes;abscisseaksernes
abscisser	x-akser;abscisseakser
